Network,Address,Award,Gas%,All Gas Used,All Gas,Start Block,End Block
Ethereum,0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,2236,0.273,17814,65205,0,13541402
Ethereum,0x1417c372e97d9a98e9f46f5e2aae3732f546410c,646,0.079,5143,65205,0,13541402
Ethereum,0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,1644,0.201,13100,65205,0,13541402
Ethereum,0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,0,0.000,0,65205,0,13541402
Ethereum,0xd33966215c372935858db3c4749dfb62718d0554,3658,0.447,29148,65205,0,13541402
MeterMainnet,0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,2459,0.273,17814,65205,0,17347498
MeterMainnet,0x1417c372e97d9a98e9f46f5e2aae3732f546410c,710,0.079,5143,65205,0,17347498
MeterMainnet,0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,1808,0.201,13100,65205,0,17347498
MeterMainnet,0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,0,0.000,0,65205,0,17347498
MeterMainnet,0xd33966215c372935858db3c4749dfb62718d0554,4023,0.447,29148,65205,0,17347498
BSCMainnet,0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,3327,0.273,17814,65205,0,12321660
BSCMainnet,0x1417c372e97d9a98e9f46f5e2aae3732f546410c,961,0.079,5143,65205,0,12321660
BSCMainnet,0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,2447,0.201,13100,65205,0,12321660
BSCMainnet,0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,0,0.000,0,65205,0,12321660
BSCMainnet,0xd33966215c372935858db3c4749dfb62718d0554,5444,0.447,29148,65205,0,12321660
AvalancheMainnet,0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,384,0.273,17814,65205,0,6453969
AvalancheMainnet,0x1417c372e97d9a98e9f46f5e2aae3732f546410c,111,0.079,5143,65205,0,6453969
AvalancheMainnet,0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,282,0.201,13100,65205,0,6453969
AvalancheMainnet,0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,0,0.000,0,65205,0,6453969
AvalancheMainnet,0xd33966215c372935858db3c4749dfb62718d0554,628,0.447,29148,65205,0,6453969
MoonriverMainnet,0xf6c75ea68bec6205def2c5a4043ab9f4f85bb9ea,3909,0.273,17814,65205,0,841216
MoonriverMainnet,0x1417c372e97d9a98e9f46f5e2aae3732f546410c,1129,0.079,5143,65205,0,841216
MoonriverMainnet,0xbe53970753c7ec7a2fddbc00d65f3f555a249fd9,2874,0.201,13100,65205,0,841216
MoonriverMainnet,0xb9a6a1ba1c63d5641cb9a946ca53fe1ec50ecca0,0,0.000,0,65205,0,841216
MoonriverMainnet,0xd33966215c372935858db3c4749dfb62718d0554,6396,0.447,29148,65205,0,841216
